created_at,created_at,station.uuid,pressure,us_units
2014-10-16 22:48:27,2014-10-16 22:48:27,202481588171316,30.835424,1
2014-10-16 22:51:18,2014-10-16 22:51:18,202481588171316,30.835424,1
2014-10-16 22:58:04,2014-10-16 22:58:04,202481588171316,30.835424,1
2014-10-16 23:04:04,2014-10-16 23:04:04,202481588171316,30.835424,1
2014-10-16 23:10:01,2014-10-16 23:10:01,202481588171316,30.835424,1
2014-10-16 23:15:04,2014-10-16 23:15:04,202481588171316,30.835424,1
2014-10-16 23:21:04,2014-10-16 23:21:04,202481588171316,30.835424,1
2014-10-16 23:27:02,2014-10-16 23:27:02,202481588171316,30.835424,1
2014-10-16 23:33:04,2014-10-16 23:33:04,202481588171316,30.835424,1
2014-10-16 23:39:03,2014-10-16 23:39:03,202481588171316,30.835424,1
2014-10-16 23:45:01,2014-10-16 23:45:01,202481588171316,30.835424,1
2014-10-16 23:50:03,2014-10-16 23:50:03,202481588171316,30.835424,1
2014-10-16 23:56:04,2014-10-16 23:56:04,202481588171316,30.835424,1
2014-10-17 00:02:02,2014-10-17 00:02:02,202481588171316,30.835424,1
2014-10-17 00:08:03,2014-10-17 00:08:03,202481588171316,30.835424,1
2014-10-17 00:14:03,2014-10-17 00:14:03,202481588171316,30.835424,1
2014-10-17 00:20:04,2014-10-17 00:20:04,202481588171316,30.835424,1
2014-10-17 00:26:03,2014-10-17 00:26:03,202481588171316,30.835424,1
2014-10-17 00:32:03,2014-10-17 00:32:03,202481588171316,30.835424,1
2014-10-17 00:38:04,2014-10-17 00:38:04,202481588171316,30.835424,1
2014-10-17 00:44:03,2014-10-17 00:44:03,202481588171316,30.835424,1
2014-10-17 00:50:03,2014-10-17 00:50:03,202481588171316,30.835424,1
2014-10-17 00:56:04,2014-10-17 00:56:04,202481588171316,30.835424,1
2014-10-17 01:02:04,2014-10-17 01:02:04,202481588171316,30.805279,1
2014-10-17 01:08:04,2014-10-17 01:08:04,202481588171316,30.805279,1
2014-10-17 01:14:01,2014-10-17 01:14:01,202481588171316,30.835424,1
2014-10-17 01:20:03,2014-10-17 01:20:03,202481588171316,30.835424,1
2014-10-17 01:26:03,2014-10-17 01:26:03,202481588171316,30.835424,1
2014-10-17 01:32:03,2014-10-17 01:32:03,202481588171316,30.835424,1
2014-10-17 01:38:03,2014-10-17 01:38:03,202481588171316,30.835424,1
