created_at,created_at,station.uuid,rssi,us_units
2014-10-17 00:14:03,2014-10-17 00:14:03,202481588171316,0,1
2014-10-17 00:17:30,2014-10-17 00:17:30,42,113,1
2014-10-17 00:20:04,2014-10-17 00:20:04,202481588171316,0,1
2014-10-17 00:22:30,2014-10-17 00:22:30,42,112,1
2014-10-17 00:26:03,2014-10-17 00:26:03,202481588171316,0,1
2014-10-17 00:27:30,2014-10-17 00:27:30,42,102,1
2014-10-17 00:32:03,2014-10-17 00:32:03,202481588171316,0,1
2014-10-17 00:32:31,2014-10-17 00:32:31,42,121,1
2014-10-17 00:37:31,2014-10-17 00:37:31,42,91,1
2014-10-17 00:38:04,2014-10-17 00:38:04,202481588171316,0,1
2014-10-17 00:42:31,2014-10-17 00:42:31,42,110,1
2014-10-17 00:44:03,2014-10-17 00:44:03,202481588171316,0,1
2014-10-17 00:47:31,2014-10-17 00:47:31,42,116,1
2014-10-17 00:50:03,2014-10-17 00:50:03,202481588171316,0,1
2014-10-17 00:52:31,2014-10-17 00:52:31,42,117,1
2014-10-17 00:56:04,2014-10-17 00:56:04,202481588171316,0,1
2014-10-17 00:57:31,2014-10-17 00:57:31,42,108,1
2014-10-17 01:02:04,2014-10-17 01:02:04,202481588171316,0,1
2014-10-17 01:02:31,2014-10-17 01:02:31,42,118,1
2014-10-17 01:07:31,2014-10-17 01:07:31,42,116,1
2014-10-17 01:08:04,2014-10-17 01:08:04,202481588171316,0,1
2014-10-17 01:12:31,2014-10-17 01:12:31,42,112,1
2014-10-17 01:14:01,2014-10-17 01:14:01,202481588171316,0,1
2014-10-17 01:17:31,2014-10-17 01:17:31,42,113,1
2014-10-17 01:20:03,2014-10-17 01:20:03,202481588171316,0,1
2014-10-17 01:22:31,2014-10-17 01:22:31,42,46,1
2014-10-17 01:22:33,2014-10-17 01:22:33,42,105,1
2014-10-17 01:26:03,2014-10-17 01:26:03,202481588171316,0,1
2014-10-17 01:27:31,2014-10-17 01:27:31,42,48,1
2014-10-17 01:32:03,2014-10-17 01:32:03,202481588171316,0,1
2014-10-17 01:32:32,2014-10-17 01:32:32,42,38,1
2014-10-17 01:32:33,2014-10-17 01:32:33,42,114,1
2014-10-17 01:37:32,2014-10-17 01:37:32,42,114,1
